n,w,time,res
32,14,7336,52
33,14,7332,52
34,14,8254,52
35,14,9318,52
36,14,8877,52
37,14,10987,57
38,14,11681,57
39,14,11840,57
40,14,12359,57
41,14,11854,57
42,14,14962,67
43,14,16547,67
44,14,15995,67
45,14,16058,67
46,14,20403,67
47,14,22007,67
48,14,23486,67
49,14,25008,67
50,14,35734,67
51,14,33386,67
52,14,41629,67
53,14,72884,67
54,14,64839,67
55,14,60506,67
56,14,61012,67
57,14,57313,67
58,14,50147,67
59,14,60397,67
60,14,58943,67
61,14,80243,67
62,14,98115,71
63,14,118948,77
64,14,118961,77
65,14,139720,77
66,14,147933,77
67,14,176479,78
68,14,187573,78
69,14,204881,78
70,14,196725,78
71,14,270839,78
72,14,216302,78
73,14,208932,78
74,14,292724,78
75,14,307594,78
76,14,335731,78
77,14,455135,78
78,14,423610,78
79,14,565895,82
80,14,567633,82
81,14,798366,82
82,14,1420866,82
83,14,1609242,91
84,14,1744353,91
85,14,1732597,91
86,14,3214021,98
87,14,2073792,98
88,14,2314390,98
89,14,3102032,98
90,14,2116274,98
91,14,2268623,98
92,14,2234189,98
93,14,2173182,98
94,14,2281808,98
95,14,2471216,98
96,14,2485969,98
97,14,2716662,98
98,14,2616738,98
99,14,2495025,98
0,15,61,0
1,15,68,2
2,15,101,9
3,15,114,9
4,15,152,20
5,15,229,28
6,15,250,28
7,15,337,28
8,15,439,36
9,15,464,36
10,15,853,36
11,15,779,38
12,15,881,38
13,15,974,38
14,15,1104,45
15,15,1362,45
16,15,1441,45
17,15,1666,45
18,15,1870,45
19,15,2060,45
20,15,2508,45
21,15,2907,55
22,15,3061,55
23,15,3345,55
24,15,4831,55
25,15,4547,55
26,15,4712,55
27,15,5532,55
28,15,6269,55
29,15,7699,55
30,15,7071,55
31,15,7315,55
32,15,8031,55
33,15,8051,55
34,15,9433,55
35,15,9365,55
36,15,10739,55
37,15,17739,60
38,15,14650,60
39,15,12936,60
40,15,13237,60
41,15,13894,60
42,15,17149,71
43,15,16696,71
44,15,17095,71
45,15,17389,71
46,15,19984,71
47,15,21958,71
48,15,23319,71
49,15,25006,71
50,15,28349,71
51,15,30180,71
52,15,33427,71
53,15,44013,71
54,15,47024,71
55,15,53395,71
56,15,54728,71
57,15,72814,71
58,15,62650,71
59,15,78183,71
60,15,57901,71
61,15,72076,71
62,15,95395,76
63,15,128461,84
64,15,130381,84
65,15,155052,84
66,15,148757,84
67,15,199068,86
68,15,200665,86
69,15,253701,86
70,15,294582,86
71,15,257908,86
72,15,230169,86
73,15,212717,86
74,15,284781,86
