n,w,time,res
49,13,5012,59
50,13,5124,59
51,13,5233,59
52,13,5348,59
53,13,5745,59
54,13,5478,59
55,13,5564,59
56,13,6282,59
57,13,5755,59
58,13,6167,59
59,13,5983,59
60,13,6055,59
61,13,6172,59
62,13,6301,63
63,13,7083,71
64,13,6867,71
65,13,6621,71
66,13,6702,71
67,13,6820,72
68,13,7280,72
69,13,6986,72
70,13,7120,72
71,13,7226,72
72,13,8158,72
73,13,8155,72
74,13,8573,75
75,13,7880,75
76,13,9012,75
77,13,8301,75
78,13,8264,75
79,13,8804,76
80,13,8788,76
81,13,8299,76
82,13,8395,76
83,13,8801,82
84,13,8624,82
85,13,8712,82
86,13,8820,86
87,13,9757,86
88,13,9114,88
89,13,9205,88
90,13,10004,88
91,13,9414,88
92,13,9499,88
93,13,10321,88
94,13,12052,88
95,13,10489,88
96,13,11010,88
97,13,11580,88
98,13,11141,88
99,13,12178,88
0,14,79,0
1,14,214,2
2,14,312,9
3,14,423,9
4,14,558,19
5,14,661,26
6,14,780,26
7,14,878,26
8,14,1704,34
9,14,1118,34
10,14,1230,34
11,14,1368,36
12,14,1470,36
13,14,1574,36
14,14,1704,44
15,14,1833,44
16,14,1937,44
17,14,2057,44
18,14,2159,44
19,14,2268,44
20,14,2364,44
21,14,2847,52
22,14,2512,52
23,14,2614,52
24,14,2715,52
25,14,2837,52
26,14,2933,52
27,14,3070,52
28,14,3446,52
29,14,3208,52
30,14,3397,52
31,14,3559,52
32,14,3673,52
33,14,3767,52
34,14,3877,52
35,14,4003,52
36,14,4433,52
37,14,4150,57
38,14,4272,57
39,14,4696,57
40,14,4332,57
41,14,4432,57
42,14,4562,67
43,14,4959,67
44,14,4741,67
45,14,4825,67
46,14,4918,67
47,14,5054,67
48,14,5154,67
49,14,5609,67
50,14,5389,67
51,14,5504,67
52,14,5618,67
53,14,5749,67
54,14,6150,67
55,14,5957,67
56,14,6011,67
57,14,6128,67
58,14,6239,67
59,14,6689,67
60,14,6479,67
61,14,6586,67
62,14,7372,71
63,14,7065,77
64,14,7505,77
65,14,7392,77
66,14,7968,77
67,14,7504,78
68,14,7970,78
69,14,7733,78
70,14,7841,78
71,14,7947,78
72,14,8386,78
73,14,8175,78
74,14,8616,78
75,14,8188,78
76,14,8628,78
77,14,8421,78
78,14,8517,78
79,14,8996,82
80,14,8775,82
81,14,9960,82
82,14,9291,82
83,14,9451,91
84,14,9544,91
85,14,9625,91
86,14,10726,98
87,14,9876,98
88,14,10162,98
89,14,10743,98
90,14,10336,98
91,14,11058,98
92,14,11298,98
93,14,11466,98
94,14,11747,98
95,14,11133,98
96,14,11589,98
97,14,11089,98
98,14,10776,98
99,14,10850,98
0,15,75,0
1,15,212,2
2,15,309,9
3,15,421,9
4,15,558,20
5,15,661,28
6,15,779,28
7,15,1178,28
8,15,1026,36
9,15,1118,36
10,15,1234,36
11,15,1356,38
12,15,1468,38
13,15,1570,38
14,15,1699,45
15,15,1821,45
16,15,1926,45
17,15,2048,45
18,15,2159,45
19,15,2266,45
20,15,2816,45
21,15,2566,55
22,15,2680,55
23,15,3118,55
24,15,2904,55
25,15,3038,55
26,15,3143,55
27,15,3277,55
28,15,3875,55
29,15,3528,55
30,15,4012,55
31,15,3613,55
32,15,4690,55
33,15,3818,55
34,15,3942,55
35,15,4028,55
36,15,4152,55
37,15,4275,60
38,15,4396,60
39,15,14483,60
40,15,4609,60
41,15,4705,60
42,15,4841,71
43,15,4941,71
44,15,5051,71
45,15,5136,71
46,15,5244,71
47,15,5367,71
48,15,5478,71
49,15,5917,71
50,15,5730,71
51,15,5845,71
52,15,5976,71
53,15,6640,71
54,15,6846,71
55,15,6327,71
56,15,6424,71
57,15,6536,71
58,15,6665,71
59,15,7785,71
60,15,7071,71
61,15,7246,71
62,15,7397,76
63,15,7876,84
64,15,7642,84
65,15,7758,84
66,15,7844,84
67,15,8986,86
68,15,8588,86
69,15,8936,86
70,15,8395,86
71,15,9354,86
72,15,8372,86
73,15,8447,86
74,15,12783,86
75,15,8717,86
76,15,8841,86
77,15,10188,86
78,15,9398,86
79,15,9537,88
80,15,10033,88
81,15,10198,88
82,15,10173,88
83,15,11226,99
84,15,10926,99
85,15,11253,99
86,15,11523,107
87,15,10590,107
88,15,10711,107
89,15,11695,107
90,15,10949,107
91,15,11076,107
92,15,11890,107
93,15,10962,107
94,15,11946,107
95,15,11215,107
96,15,11962,107
97,15,11770,107
98,15,11523,107
99,15,11608,107
0,16,76,0
1,16,223,3
2,16,324,11
3,16,443,11
4,16,587,22
5,16,703,29
6,16,817,29
7,16,918,29
8,16,1071,38
9,16,1186,38
10,16,1306,38
11,16,1447,40
12,16,1558,40
13,16,1663,40
14,16,1809,49
15,16,1943,49
16,16,2044,49
17,16,2175,49
18,16,2283,49
19,16,2401,49
20,16,3093,49
21,16,2653,62
22,16,2760,62
23,16,3373,62
24,16,3088,62
25,16,3227,62
26,16,3345,62
27,16,3489,62
28,16,3629,62
29,16,4341,62
30,16,3855,62
31,16,3963,62
32,16,4094,62
33,16,4197,62
34,16,4338,62
35,16,4434,62
36,16,4554,62
37,16,5307,65
38,16,5214,65
39,16,4744,65
40,16,4857,65
41,16,4949,65
42,16,5093,77
43,16,5686,77
44,16,5420,77
45,16,5521,77
46,16,5661,77
47,16,5796,77
48,16,6182,77
49,16,5930,77
50,16,6069,77
51,16,6196,77
52,16,6323,77
53,16,6799,77
54,16,6579,77
55,16,7805,77
56,16,7175,77
57,16,7420,77
58,16,7240,77
59,16,8442,77
60,16,8767,77
61,16,9116,79
62,16,8862,84
63,16,10035,93
64,16,10108,93
65,16,9687,93
66,16,9780,93
67,16,9984,94
68,16,11136,94
69,16,12124,94
70,16,10990,94
71,16,10579,94
72,16,10720,94
73,16,12625,94
74,16,14531,94
75,16,15332,94
76,16,14557,94
77,16,13622,94
78,16,13458,94
79,16,14260,94
80,16,13854,94
81,16,13138,94
82,16,13956,94
83,16,13509,107
84,16,15956,107
85,16,11555,107
86,16,11362,111
